player_id,name,class,college,assists,blocks,effective_field_goal_percentage,field_goal_percentage,free_throw_attempt_rate,free_throw_percentage,games_played,height,minutes_played,points,steals,three_point_percentage,three_pointers,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,win_shares_per_40_minutes,assists_per_40,blocks_per_40,points_per_40,steals_per_40,three_pointers_per_40,total_rebounds_per_40,turnovers_per_40
tyrus-thomas-1,Tyrus Thomas,Player,lsu,42,99,0.61,0.608,0.5479999999999999,0.657,32,81,829.0,395,33,1.0,1.0,295,0.627,15.8,59.0,0.35100000000000003,2.0265379975874547,4.7768395657418585,19.059107358262967,1.592279855247286,0.048250904704463214,14.234016887816649,2.846803377563329
shelden-williams-1,Shelden Williams,Player,duke,119,422,0.573,0.5720000000000001,0.659,0.6940000000000001,139,81,3903.0,1928,161,0.33299999999999996,4.0,1262,0.611,16.9,321.0,0.299,1.2195746861388677,4.324878298744555,19.759159620804514,1.6500128106584675,0.040994107097104784,12.933640789136565,3.2897770945426603
brandon-roy-1,Brandon Roy,Player,washington,308,49,0.537,0.512,0.45,0.765,103,78,2837.0,1477,103,0.344,53.0,517,0.585,14.7,217.0,0.188,4.34261543884385,0.6908706379978851,20.82481494536482,1.4522382798731055,0.7472682410997533,7.28939020091646,3.059569968276348
randy-foye-1,Randy Foye,Player,villanova,416,52,0.461,0.39899999999999997,0.29100000000000004,0.7809999999999999,131,76,4096.0,1966,198,0.32899999999999996,213.0,625,0.505,16.3,378.0,0.129,4.0625,0.5078125,19.19921875,1.93359375,2.080078125,6.103515625,3.69140625
rudy-gay-1,Rudy Gay,Player,uconn,116,111,0.501,0.461,0.353,0.721,64,81,1908.0,870,83,0.37799999999999995,56.0,378,0.5379999999999999,15.0,143.0,0.191,2.431865828092243,2.3270440251572326,18.238993710691823,1.740041928721174,1.1740041928721174,7.924528301886793,2.9979035639413
patrick-obryant-1,Patrick O'Bryant,Player,bradley,38,147,0.5539999999999999,0.5539999999999999,0.41100000000000003,0.687,52,84,1265.0,605,46,0.3291631116687577,0.0,408,0.5820000000000001,16.1,100.0,0.272,1.201581027667984,4.6482213438735185,19.130434782608692,1.4545454545454546,0.0,12.901185770750988,3.1620553359683794
jj-redick-1,J.J. Redick,Player,duke,306,9,0.5529999999999999,0.433,0.381,0.912,139,76,4732.0,2769,152,0.406,457.0,375,0.615,11.6,296.0,0.19899999999999998,2.586644125105664,0.0760777683854607,23.40659340659341,1.2848689771766697,3.86306001690617,3.1699070160608622,2.502113271344041
hilton-armstrong-1,Hilton Armstrong,Player,uconn,73,191,0.565,0.563,0.682,0.578,131,83,1980.0,614,43,0.33299999999999996,1.0,517,0.575,23.0,159.0,0.203,1.4747474747474751,3.8585858585858586,12.404040404040403,0.8686868686868687,0.0202020202020202,10.444444444444443,3.2121212121212124
ronnie-brewer-1,Ronnie Brewer,Player,arkansas,299,49,0.511,0.462,0.455,0.6709999999999999,90,79,2974.0,1416,216,0.34,104.0,452,0.546,13.5,203.0,0.184,4.021519838601211,0.6590450571620712,19.045057162071284,2.905178211163416,1.3987895090786822,6.079354404841963,2.730329522528581
rodney-carney-1,Rodney Carney,Player,memphis,155,131,0.506,0.415,0.26,0.7170000000000001,133,79,3670.0,1901,134,0.36200000000000004,287.0,651,0.5329999999999999,9.7,191.0,0.179,1.6893732970027249,1.4277929155313351,20.719346049046322,1.4604904632152589,3.128065395095368,7.0953678474114446,2.0817438692098094
