Win Shares,Mins Played (per game),Player,Games,Year,Rank,Points(per game),WS/48,Box +/-,Value Overall Replacement Player,Team,College,Years,Mins Played (Total),Points (Total),Class
58.5,27.7,Mike Dunleavy,986,2002,3,11.2,0.103,0.3,15.9,GSW,Duke,15,27340,11048,Player
43.9,25.5,Drew Gooden,790,2002,4,11.0,0.105,-1.5,2.3,MEM,Kansas,14,20127,8653,Player
0.0,21.4,Dajuan Wagner,103,2002,6,9.4,0.0,-5.6,-2.0,CLE,Memphis,4,2202,964,Player
26.9,19.9,Chris Wilcox,628,2002,8,8.2,0.103,-1.6,1.2,LAC,Maryland,11,12474,5150,Player
50.9,32.2,Caron Butler,881,2002,10,14.1,0.086,0.2,15.9,MIA,UConn,14,28333,12430,Player
13.1,21.6,Jared Jeffries,629,2002,11,4.8,0.046,-0.9,3.8,WAS,Indiana,11,13579,3003,Player
4.0,16.0,Melvin Ely,375,2002,12,5.3,0.032,-3.6,-2.4,LAC,Fresno State,9,6005,1992,Player
0.5,9.6,Marcus Haislip,89,2002,13,3.5,0.026,-6.2,-0.9,MIL,Tennessee,4,854,311,Player
16.5,24.0,Fred Jones,430,2002,14,7.5,0.077,-0.9,2.8,IND,Oregon,7,10299,3206,Player
-0.5,12.0,Chris Jefferies,72,2002,27,3.9,-0.03,-6.3,-0.9,LAL,Fresno State,2,861,281,Bust
33.9,26.4,John Salmons,895,2002,26,9.3,0.069,-1.0,5.8,SAS,Miami (FL),13,23672,8292,Player
0.1,11.1,Frank Williams,86,2002,25,2.9,0.003,-5.0,-0.7,DEN,Illinois,3,952,253,Player
63.1,31.0,Tayshaun Prince,1017,2002,23,11.1,0.096,0.1,16.6,DET,Kentucky,14,31576,11272,Player
1.4,12.3,Qyntel Woods,167,2002,21,4.1,0.032,-3.0,-0.5,POR,Northeast Mississippi Community College,4,2060,691,Player
1.7,17.2,Kareem Rush,346,2002,20,6.4,0.013,-4.1,-3.2,TOR,Missouri,7,5956,2213,Player
-0.4,9.1,Ryan Humphrey,85,2002,19,2.3,-0.027,-7.6,-1.1,UTA,Notre Dame,3,772,197,Player
1.0,13.5,Curtis Borchardt,83,2002,18,3.1,0.041,-2.4,-0.1,ORL,Stanford,2,1117,258,Bust
6.1,19.5,Juan Dixon,436,2002,17,8.4,0.034,-3.0,-2.1,WAS,Maryland,7,8509,3678,Player
6.2,18.5,Casey Jacobsen,287,2002,22,5.2,0.056,-2.3,-0.4,PHO,Stanford,4,5320,1488,Player
12.9,20.2,Willie Green,731,2003,41,8.3,0.042,-3.6,-5.9,SEA,Detroit Mercy,12,14783,6059,Player
0.0,16.0,Derrick Zimmerman,2,2003,40,2.0,0.004,-9.7,-0.1,GSW,Mississippi State,1,32,4,Bust
29.1,23.9,Steve Blake,870,2003,38,6.5,0.067,-1.8,1.3,WAS,Maryland,13,20823,5662,Player
0.0,0.0,Mario Austin,0,2003,36,0.0,0.0,0.0,0.0,CHI,Mississippi State,0,0,0,Bust
20.4,21.6,Keith Bogans,671,2003,43,6.3,0.068,-0.8,4.5,MIL,Kentucky,11,14527,4257,Player
0.0,2.5,Jerome Beasley,2,2003,33,1.0,-0.117,-22.4,0.0,MIA,University of North Dakota,1,5,2,Bust
13.5,17.2,Luke Walton,564,2003,32,4.7,0.067,-1.2,1.9,LAL,Arizona,10,9685,2649,Player
0.2,12.4,Travis Hansen,41,2003,37,3.0,0.019,-5.0,-0.4,ATL,BYU,1,507,123,Bust
40.0,29.2,Mo Williams,818,2003,47,13.2,0.08,-0.5,8.9,UTA,Alabama,13,23872,10759,Player
25.2,15.7,James Jones,709,2003,49,5.2,0.109,-0.6,4.0,IND,Miami (FL),14,11098,3717,Player
72.7,25.4,Kyle Korver,1216,2003,51,9.7,0.113,0.8,21.5,NJN,Creighton,17,30925,11836,Player
0.0,0.0,Tommy Smith,0,2003,53,0.0,0.0,0.0,0.0,CHI,Arizona State,0,0,0,Bust
0.0,0.0,Rick Rickert,0,2003,55,0.0,0.0,0.0,0.0,MIN,Minnesota,0,0,0,Bust
0.7,9.4,Brandon Hunter,67,2003,56,3.3,0.055,-5.4,-0.5,BOS,Ohio University,2,630,220,Bust
10.3,17.8,Jason Kapono,509,2003,31,6.7,0.055,-3.0,-2.3,CLE,UCLA,9,9068,3398,Player
38.5,16.9,Matt Bonner,792,2003,45,5.8,0.138,1.0,10.1,CHI,Florida,12,13356,4632,Player
38.0,30.3,Josh Howard,507,2003,29,14.3,0.119,0.6,10.3,DAL,Wake Forest,10,15350,7270,Player
101.8,35.7,Carmelo Anthony,1097,2003,3,23.8,0.125,0.8,27.7,DEN,Syracuse,17,39202,26073,Player
106.0,35.8,Chris Bosh,893,2003,4,19.2,0.159,1.4,27.5,TOR,Georgia Tech,13,31936,17189,Player
120.7,33.9,Dwyane Wade,1054,2003,5,22.0,0.162,4.5,58.4,MIA,Marquette,16,35773,23165,Player
24.6,26.7,Chris Kaman,735,2003,6,11.2,0.06,-2.0,0.0,LAC,Central Michigan University,13,19642,8208,Player
52.5,30.7,Kirk Hinrich,879,2003,7,10.9,0.093,0.2,14.7,CHI,Kansas,13,27015,9594,Player
7.8,15.5,Mike Sweetney,233,2003,9,6.5,0.103,-2.1,-0.1,NYK,Georgetown,4,3610,1516,Player
10.2,23.2,Jarvis Hayes,427,2003,10,8.3,0.049,-2.9,-2.2,WAS,Georgia,7,9898,3553,Player
44.5,20.4,Nick Collison,910,2003,12,5.9,0.115,0.4,11.3,SEA,Kansas,14,18603,5359,Player
6.6,16.0,Marcus Banks,348,2003,13,5.9,0.057,-2.4,-0.6,MEM,UNLV,8,5571,2061,Player
16.9,27.7,T.J. Ford,429,2003,8,11.2,0.068,-0.8,3.6,MIL,Texas,8,11882,4797,Player
-0.6,8.5,Reece Gaines,71,2003,15,1.7,-0.049,-7.7,-0.9,ORL,Louisville,3,605,123,Player
36.0,26.1,Luke Ridnour,830,2003,14,9.3,0.08,-0.9,5.8,SEA,Oregon,12,21623,7740,Player
10.2,13.4,Brian Cook,421,2003,24,5.5,0.086,-2.4,-0.6,LAL,Illinois,9,5649,2312,Player
9.9,15.7,Dahntay Jones,624,2003,20,5.4,0.048,-3.7,-4.1,BOS,Duke,13,9799,3353,Player
