win shares,mins played (per game),player,games,year,rank,points(per game),ws/48,box +/-,value overall replacement player,team,college,years,mins played (total),points (total),class,player_id,college_id,word,name,big_conf_flag,assists,blocks,effective_field_goal_percentage,field_goal_percentage,free_throw_attempt_rate,free_throw_percentage,games_played,height,minutes_played,points,steals,three_point_percentage,three_pointers,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,win_shares_per_40_minutes,assists_per_40,blocks_per_40,points_per_40,steals_per_40,three_pointers_per_40,total_rebounds_per_40,turnovers_per_40
8.2,11.8,Mark Madsen,453,2000,29,2.2,0.07400000000000001,-2.2,-0.2,LAL,stanford,9,5335,975,Player,mark-madsen-1,stanford,stanford,Mark Madsen,1,69,64,0.587,0.587,0.737,0.596,108,81,2007.0,1176,47,0.0,0.0,857,0.598,12.9,107.0,0.248,1.3751868460388639,1.27553562531141,23.43796711509716,0.9367214748380668,0.0,17.0802192326856,2.1325361235675135
21.3,19.8,Stromile Swift,547,2000,2,8.4,0.095,-1.9,0.2,VAN,lsu,9,10804,4582,Player,stromile-swift-1,louisiana state,lsu,Stromile Swift,1,37,130,0.569,0.56,0.566,0.613,50,81,1332.0,671,65,0.242,8.0,348,0.585,18.0,126.0,0.275,1.1111111111111112,3.9039039039039034,20.15015015015015,1.9519519519519517,0.24024024024024024,10.45045045045045,3.783783783783784
2.7,20.9,Marcus Fizer,289,2000,4,9.6,0.022000000000000002,-4.7,-4.1,CHI,iowa state,6,6032,2782,Player,marcus-fizer-1,iowa state,iowa,Marcus Fizer,1,94,89,0.519,0.511,0.453,0.702,97,81,2204.0,1830,90,0.292,21.0,716,0.558,12.1,225.0,0.256,1.705989110707804,1.6152450090744104,33.21234119782214,1.6333938294010888,0.3811252268602541,12.994555353901996,4.083484573502723
60.7,26.9,Mike Miller,1032,2000,5,10.6,0.105,0.9,20.3,ORL,florida,17,27812,10973,Player,mike-miller-1,florida,florida,Mike Miller,1,149,22,0.547,0.483,0.473,0.718,65,80,1735.0,862,81,0.345,78.0,389,0.586,16.0,140.0,0.194,3.435158501440922,0.5072046109510087,19.87319884726225,1.8674351585014408,1.798270893371758,8.968299711815561,3.227665706051873
6.4,17.2,DerMarr Johnson,344,2000,6,6.2,0.052000000000000005,-1.6,0.6,ATL,cincinnati,7,5930,2121,Player,dermarr-johnson-1,cincinnati,cincinnati,DerMarr Johnson,0,45,30,0.567,0.478,0.324,0.737,32,81,879.0,402,31,0.371,52.0,123,0.594,12.0,46.0,0.218,2.04778156996587,1.3651877133105803,18.293515358361773,1.410693970420933,2.3663253697383393,5.597269624573379,2.0932878270762227
13.3,20.1,Chris Mihm,436,2000,7,7.5,0.073,-3.8,-4.1,CHI,texas,8,8758,3262,Player,chris-mihm-1,texas,texas,Chris Mihm,1,55,264,0.501,0.497,0.581,0.684,96,84,2041.0,1404,36,0.3,9.0,945,0.548,14.6,159.0,0.251,1.077902988731014,5.173934345908869,27.51592356687898,0.7055365017148457,0.17638412542871143,18.5203331700147,3.1161195492405684
60.6,29.4,Jamal Crawford,1326,2000,8,14.6,0.075,-1.1,8.9,CLE,michigan,19,38988,19414,Player,jamal-crawford-1,michigan,michigan,Jamal Crawford,1,76,16,0.476,0.412,0.2,0.784,17,78,577.0,283,19,0.327,33.0,47,0.507,16.0,53.0,0.065,5.268630849220104,1.1091854419410745,19.618717504332757,1.317157712305026,2.2876949740034664,3.2582322357019065,3.6741767764298094
18.5,19.4,Keyon Dooling,728,2000,10,7.0,0.063,-3.0,-3.6,ORL,missouri,13,14134,5067,Player,keyon-dooling-1,missouri,missouri,Keyon Dooling,1,198,29,0.472,0.411,0.51,0.733,59,75,1659.0,716,76,0.338,67.0,142,0.531,16.6,134.0,0.146,4.773960216998192,0.699216395418927,17.26341169379144,1.8324291742013261,1.61543098251959,3.423749246534057,3.23086196503918
2.1,9.6,Jérôme Moïso,145,2000,11,2.7,0.07400000000000001,-3.8,-0.6,BOS,ucla,5,1392,386,Player,jerome-moiso-1,ucla,ucla,Jerome Moiso,1,66,81,0.499,0.495,0.362,0.614,62,82,1661.0,742,61,0.227,5.0,421,0.521,16.5,141.0,0.164,1.589403973509934,1.950632149307646,17.8687537627935,1.468994581577363,0.12040939193257075,10.138470800722457,3.395544852498495
14.9,17.3,Etan Thomas,409,2000,12,5.7,0.10099999999999999,-2.6,-1.0,DAL,syracuse,9,7084,2341,Player,etan-thomas-1,syracuse,syracuse,Etan Thomas,1,51,424,0.6,0.6,0.709,0.598,122,81,2261.0,1340,85,0.3291618569636134,0.0,847,0.608,15.9,148.0,0.301,0.9022556390977443,7.501105705440071,23.706324635117205,1.5037593984962405,0.0,14.984520123839008,2.6183104820875718
