win shares,mins played (per game),player,games,year,rank,points(per game),ws/48,box +/-,value overall replacement player,team,college,years,mins played (total),points (total),class,player_id,college_id,word
0.0,0.0,Tiny Gallon,0,2010,47,0.0,0.0,0.0,0.0,MIL,oklahoma,0,0,0,Bust,tiny-gallon-1,oklahoma,oklahoma
0.2,8.2,Lazar Hayward,72,2010,30,2.9,0.02,-4.6,-0.4,WAS,marquette,3,591,207,Player,lazar-hayward-1,marquette,marquette
1.0,10.6,Daniel Orton,51,2010,29,2.8,0.09300000000000001,-1.7,0.0,ORL,kentucky,3,542,143,Player,daniel-orton-1,kentucky,kentucky
20.2,26.9,Evan Turner,704,2010,2,9.7,0.051,-2.0,-0.2,PHI,ohio state,10,18917,6822,Player,evan-turner-1,ohio state,ohio
52.1,25.7,Derrick Favors,662,2010,3,11.5,0.147,1.5,15.0,NJN,georgia tech,10,16992,7615,Player,derrick-favors-1,georgia tech,georgia
10.7,22.1,Wesley Johnson,609,2010,4,7.0,0.038,-1.2,2.9,MIN,syracuse,9,13472,4235,Player,wes-johnson-1,syracuse,charleston
44.1,32.0,DeMarcus Cousins,565,2010,5,21.2,0.11699999999999999,2.9,22.5,SAC,kentucky,9,18078,12006,Player,demarcus-cousins-1,kentucky,kentucky
10.4,14.8,Ekpe Udoh,384,2010,6,3.5,0.08800000000000001,0.2,3.2,GSW,baylor,7,5694,1353,Player,ekpe-udoh-1,baylor,baylor
49.7,27.7,Greg Monroe,632,2010,7,13.2,0.136,1.9,17.2,DET,georgetown,9,17475,8326,Player,greg-monroe-1,georgetown,georgetown
27.5,25.1,Al-Farouq Aminu,688,2010,8,7.6,0.077,-0.1,8.5,LAC,wake forest,10,17264,5248,Player,al-farouq-aminu-1,wake forest,wake
51.5,30.7,Gordon Hayward,620,2010,9,15.2,0.13,1.9,18.7,UTA,butler,10,19038,9438,Player,gordon-hayward-1,butler,butler
67.6,33.7,Paul George,631,2010,10,20.0,0.153,3.8,31.1,IND,fresno state,10,21243,12601,Player,paul-george-1,fresno state,fresno
9.6,10.0,Cole Aldrich,339,2010,11,3.1,0.135,1.0,2.6,NOH,kansas,8,3389,1050,Player,cole-aldrich-1,kansas,kansas
0.8,15.7,Xavier Henry,185,2010,12,5.7,0.013000000000000001,-5.1,-2.3,MEM,kansas,5,2905,1050,Player,xavier-henry-1,kansas,kansas
41.7,19.9,Ed Davis,664,2010,13,6.3,0.151,0.9,9.6,TOR,unc,10,13208,4193,Player,ed-davis-1,north carolina,unc
30.2,21.3,Patrick Patterson,665,2010,14,6.8,0.102,0.2,7.9,HOU,kentucky,10,14133,4509,Player,patrick-patterson-1,kentucky,kentucky
44.3,35.9,John Wall,573,2010,1,19.0,0.10400000000000001,2.3,22.1,WAS,kentucky,9,20545,10879,Player,john-wall-1,kentucky,kentucky
7.2,14.0,Luke Babbitt,381,2010,16,4.8,0.065,-2.8,-1.0,MIN,nevada,8,5332,1818,Player,luke-babbitt-1,nevada,nevada
10.3,19.5,Larry Sanders,238,2010,15,6.4,0.107,0.6,3.0,MIL,virginia commonwealth,6,4635,1520,Player,larry-sanders-1,virginia commonwealth,virginia
12.6,23.7,Greivis Vásquez,401,2010,28,9.0,0.064,-1.5,1.1,MEM,maryland,7,9520,3591,Player,greivis-vasquez-1,maryland,maryland
6.3,24.4,Jordan Crawford,281,2010,27,12.2,0.044000000000000004,-2.1,-0.2,NJN,xavier,6,6843,3432,Player,jordan-crawford-1,xavier,xavier
9.7,15.6,Quincy Pondexter,355,2010,26,4.5,0.084,-1.2,1.1,OKC,washington,7,5530,1609,Player,quincy-pondexter-1,washington,washington
0.0,16.0,Damion James,39,2010,24,3.8,-0.001,-4.3,-0.4,ATL,texas,4,623,150,Player,damion-james-1,texas,texas
26.2,20.4,Trevor Booker,532,2010,23,6.9,0.11599999999999999,0.2,6.0,MIN,clemson,8,10872,3679,Player,trevor-booker-1,clemson,clemson
0.3,9.3,Dominique Jones,80,2010,25,3.1,0.017,-3.6,-0.3,MEM,south florida,3,741,246,Player,dominique-jones-1,south florida,south
-0.2,7.1,Craig Brackins,17,2010,21,1.8,-0.08900000000000001,-9.1,-0.2,OKC,iowa state,2,121,30,Bust,craig-brackins-1,iowa state,iowa
3.3,17.5,James Anderson,247,2010,20,5.8,0.037000000000000005,-2.8,-0.9,SAS,oklahoma state,5,4320,1422,Player,james-anderson-3,oklahoma state,byu
15.1,28.3,Avery Bradley,555,2010,19,11.8,0.046,-1.9,0.3,BOS,texas,10,15717,6536,Player,avery-bradley-1,texas,texas
41.1,27.8,Eric Bledsoe,610,2010,18,14.2,0.11599999999999999,2.2,17.9,OKC,kentucky,10,16961,8652,Player,eric-bledsoe-1,kentucky,kentucky
0.7,13.5,Elliot Williams,109,2010,22,4.9,0.024,-5.3,-1.2,POR,memphis,4,1470,537,Player,elliot-williams-1,memphis,memphis
13.2,15.8,Jon Leuer,377,2011,40,6.4,0.107,-1.4,0.9,MIL,wisconsin,8,5945,2395,Player,jon-leuer-1,wisconsin,wisconsin
0.4,14.8,Malcolm Lee,36,2011,43,3.9,0.04,-2.0,0.0,CHI,ucla,3,534,140,Player,malcolm-lee-1,ucla,ucla
-0.3,11.1,Darius Morris,132,2011,41,3.3,-0.01,-5.6,-1.3,LAL,michigan,4,1464,430,Player,darius-morris-1,michigan,michigan
10.0,21.9,Kyle Singler,356,2011,33,6.5,0.062,-1.6,0.7,DET,duke,6,7794,2326,Player,kyle-singler-1,duke,duke
0.0,5.0,Trey Thompkins,24,2011,37,2.4,0.004,-8.9,-0.2,LAC,georgia,1,119,57,Bust,trey-thompkins-1,georgia,georgia
1.3,14.8,Jordan Williams,43,2011,36,4.6,0.10099999999999999,-3.1,-0.2,NJN,maryland,1,635,197,Bust,jordan-williams-1,maryland,maryland
-0.1,5.0,Tyler Honeycutt,24,2011,35,1.2,-0.049,-6.4,-0.1,SAC,ucla,2,120,28,Bust,tyler-honeycutt-1,ucla,ucla
10.3,18.4,Shelvin Mack,456,2011,34,6.6,0.059000000000000004,-2.7,-1.5,WAS,butler,8,8392,2997,Player,shelvin-mack-1,butler,butler
0.5,12.1,Charles Jenkins,110,2011,44,3.7,0.017,-5.9,-1.3,GSW,hofstra,2,1334,408,Bust,charles-jenkins-1,hofstra,hofstra
29.0,30.1,Chandler Parsons,440,2011,38,12.7,0.105,1.6,11.9,HOU,florida,9,13246,5571,Player,chandler-parsons-1,florida,florida
2.1,11.8,Josh Harrellson,75,2011,45,3.5,0.11599999999999999,-0.7,0.3,NOH,kentucky,3,888,265,Player,josh-harrellson-1,kentucky,kentucky
0.5,5.9,Vernon Macklin,23,2011,52,2.0,0.161,-0.6,0.0,DET,florida,1,135,46,Bust,vernon-macklin-1,florida,florida
0.1,4.5,Travis Leslie,10,2011,47,1.4,0.06,-0.2,0.0,LAC,georgia,1,45,14,Bust,travis-leslie-1,georgia,georgia
0.0,3.0,Keith Benson,3,2011,48,0.0,-0.005,-10.4,0.0,ATL,oakland,1,9,0,Bust,keith-benson-1,oakland,oakland
-0.7,7.8,Josh Selby,38,2011,49,2.2,-0.113,-10.1,-0.6,MEM,kansas,2,296,83,Bust,josh-selby-1,kansas,kansas
13.8,17.8,Lavoy Allen,388,2011,50,4.8,0.096,-1.2,1.3,PHI,temple,6,6905,1847,Player,lavoy-allen-1,temple,temple
0.0,0.0,Jon Diebler,0,2011,51,0.0,0.0,0.0,0.0,POR,ohio state,0,0,0,Bust,jon-diebler-1,ohio state,ohio
1.6,10.8,DeAndre Liggins,177,2011,53,2.0,0.04,-2.0,0.0,ORL,kentucky,5,1907,346,Player,deandre-liggins-1,kentucky,kentucky
14.2,21.6,E'Twaun Moore,551,2011,55,8.2,0.057,-1.8,0.4,BOS,purdue,9,11894,4502,Player,etwaun-moore-1,purdue,purdue
-0.3,6.8,Justin Harper,22,2011,32,2.0,-0.09300000000000001,-8.4,-0.2,CLE,richmond,3,150,45,Player,justin-harper-1,richmond,richmond
0.0,9.7,Andrew Goudelock,49,2011,46,4.0,0.003,-6.5,-0.5,LAL,college of charleston,3,475,197,Player,andrew-goudelock-1,college of charleston,college
45.4,28.9,Isaiah Thomas,523,2011,60,18.1,0.14400000000000002,1.4,13.1,SAC,washington,9,15135,9487,Player,isaiah-thomas-1,washington,washington
23.1,21.8,Cory Joseph,576,2011,29,6.9,0.08800000000000001,-0.8,3.7,SAS,texas,9,12559,3973,Player,cory-joseph-1,texas,texas
61.4,33.8,Kyrie Irving,527,2011,1,22.4,0.166,3.9,26.5,CLE,duke,9,17798,11831,Player,kyrie-irving-1,duke,duke
14.1,20.7,Derrick Williams,428,2011,2,8.9,0.076,-3.2,-2.6,MIN,arizona,7,8864,3809,Player,derrick-williams-2,arizona,birmingham
42.5,28.1,Tristan Thompson,609,2011,4,9.4,0.11900000000000001,-0.5,6.4,CLE,texas,9,17111,5720,Player,tristan-thompson-2,texas,north
11.3,29.6,Brandon Knight,437,2011,8,14.1,0.042,-1.6,1.5,DET,kentucky,8,12916,6165,Player,brandon-knight-1,kentucky,kentucky
53.8,33.9,Kemba Walker,647,2011,9,20.0,0.11800000000000001,2.6,25.4,CHA,uconn,9,21954,12935,Player,kemba-walker-1,connecticut,uconn
2.2,13.3,Jimmer Fredette,241,2011,10,6.0,0.033,-4.2,-1.8,MIL,byu,6,3213,1438,Player,jimmer-fredette-1,brigham young,byu
46.8,33.1,Klay Thompson,615,2011,11,19.5,0.11,0.2,11.3,GSW,washington state,8,20340,11995,Player,klay-thompson-1,washington state,washington
15.4,21.9,Alec Burks,475,2011,12,10.1,0.071,-2.0,-0.1,UTA,colorado,9,10389,4817,Player,alec-burks-1,colorado,colorado
24.7,25.7,Markieff Morris,621,2011,13,11.6,0.07400000000000001,-0.9,4.4,PHO,kansas,9,15986,7188,Player,markieff-morris-1,kansas,kansas
29.5,26.9,Marcus Morris,586,2011,14,12.1,0.09,-0.7,5.3,HOU,kansas,9,15770,7080,Player,marcus-morris-1,kansas,kansas
