rank,player_id,name,college,year,assists,blocks,effective_field_goal_percentage,field_goal_percentage,free_throw_attempt_rate,free_throw_percentage,games_played,height,minutes_played,points,steals,three_point_percentage,three_pointers,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,win_shares_per_40_minutes,assists_per_40,blocks_per_40,points_per_40,steals_per_40,three_pointers_per_40,total_rebounds_per_40,turnovers_per_40
14,isaac-okoro-1,Isaac Okoro,auburn,Fr.,48,22,0.543,0.505,0.486,0.667,23,78,737,296,23,0.281,16,105,0.573,14.3,43,0.164,2.6051560379918586,1.1940298507462686,16.065128900949798,1.2483039348710991,0.8683853459972862,5.698778833107191,2.333785617367707
15,josh-green-2,Josh Green,arizona,Fr.,55,9,0.455,0.412,0.343,0.775,23,78,706,274,35,0.308,20,103,0.506,11.4,35,0.156,3.1161473087818696,0.509915014164306,15.524079320113316,1.9830028328611897,1.13314447592068,5.835694050991501,1.9830028328611897
16,zeke-nnaji-1,Zeke Nnaji,arizona,Fr.,17,23,0.608,0.601,0.619,0.793,23,83,687,372,13,0.333,3,205,0.659,14.8,49,0.246,0.9898107714701601,1.3391557496360988,21.65938864628821,0.7569141193595342,0.17467248908296942,11.935953420669579,2.852983988355167
18,isaiah-stewart-2,Isaiah Stewart,siena,Fr.,17,49,0.567,0.56,0.56,0.753,24,81,774,417,13,0.267,4,209,0.615,13.1,51,0.225,0.8785529715762274,2.532299741602067,21.550387596899224,0.6718346253229974,0.20671834625323,10.801033591731265,2.6356589147286824
19,ashton-hagans-1,Ashton Hagans,kentucky,So.,316,8,0.476,0.443,0.523,0.797,60,75,1821,568,108,0.287,27,187,0.548,25.1,174,0.138,6.941241076331686,0.1757276221856123,12.476661175178474,2.372322899505766,0.5930807248764415,4.107633168588688,3.822075782537068
20,precious-achiuwa-1,Precious Achiuwa,memphis,Fr.,20,43,0.528,0.51,0.498,0.571,23,81,661,339,25,0.346,9,226,0.542,17.9,68,0.183,1.2102874432677762,2.6021180030257183,20.514372163388806,1.5128593040847202,0.5446293494704992,13.67624810892587,4.114977307110439
21,aaron-nesmith-1,Aaron Nesmith,vanderbilt,So.,58,30,0.561,0.442,0.288,0.825,46,78,1428,675,43,0.41,119,245,0.598,11.7,75,0.143,1.6246498599439776,0.8403361344537816,18.907563025210084,1.2044817927170868,3.333333333333333,6.862745098039216,2.100840336134454
22,tyrese-maxey-1,Tyrese Maxey,kentucky,Fr.,70,8,0.477,0.428,0.387,0.819,23,75,771,309,18,0.293,24,96,0.537,15.3,52,0.135,3.6316472114137484,0.41504539559014264,16.03112840466926,0.933852140077821,1.245136186770428,4.980544747081712,2.697795071335927
23,jordan-nwora-1,Jordan Nwora,louisville,Jr.,86,22,0.547,0.455,0.318,0.786,86,79,2219,1203,68,0.406,165,500,0.584,12.9,153,0.186,1.5502478593961244,0.3965750337990086,21.685443893645786,1.2257773771969356,2.9743127534925637,9.013068949977468,2.757999098693105
24,ochai-agbaji-1,Ochai Agbaji,kansas,So.,68,19,0.518,0.434,0.213,0.711,45,77,1345,424,44,0.335,60,200,0.539,16.2,76,0.123,2.0223048327137545,0.5650557620817844,12.609665427509293,1.308550185873606,1.7843866171003717,5.947955390334573,2.2602230483271377
25,paul-reed-5,Paul Reed,east tennessee state,Jr.,81,134,0.563,0.541,0.264,0.749,88,81,2028,918,103,0.32,31,653,0.589,14.8,135,0.183,1.5976331360946747,2.6429980276134124,18.106508875739642,2.0315581854043394,0.611439842209073,12.879684418145956,2.6627218934911245
